product,uf,volume,year_month,unit
GASOLINA C (m3),PARÁ,42578.2452404694,2008-01-01,m3
GASOLINA C (m3),AMAPÁ,82509.6279265772,2008-01-01,m3
GASOLINA C (m3),TOCANTINS,16145.6284433933,2008-01-01,m3
GASOLINA C (m3),MARANHÃO,29931.8724407814,2008-01-01,m3
GASOLINA C (m3),PIAUÍ,23179.3226394487,2008-01-01,m3
GASOLINA C (m3),CEARÁ,56794.5854823378,2008-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,25197.5710333366,2008-01-01,m3
GASOLINA C (m3),PARAÍBA,28727.5663849691,2008-01-01,m3
GASOLINA C (m3),PERNAMBUCO,51922.5206298346,2008-01-01,m3
GASOLINA C (m3),ALAGOAS,12937.8908303773,2008-01-01,m3
GASOLINA C (m3),SERGIPE,15680.798153347,2008-01-01,m3
GASOLINA C (m3),BAHIA,84353.3411420811,2008-01-01,m3
GASOLINA C (m3),MINAS GERAIS,220922.638006482,2008-01-01,m3
GASOLINA C (m3),ESPÍRITO SANTO,42775.8238511288,2008-01-01,m3
GASOLINA C (m3),RIO DE JANEIRO,1616429.48143135,2008-01-01,m3
GASOLINA C (m3),SÃO PAULO,651891.720169228,2008-01-01,m3
GASOLINA C (m3),PARANÁ,135470.911691444,2008-01-01,m3
GASOLINA C (m3),SANTA CATARINA,118521.181860229,2008-01-01,m3
GASOLINA C (m3),RIO GRANDE DO SUL,179735.066269626,2008-01-01,m3
GASOLINA C (m3),MATO GROSSO DO SUL,30157.9168063437,2008-01-01,m3
GASOLINA C (m3),MATO GROSSO,29426.3259089538,2008-01-01,m3
GASOLINA C (m3),GOIÁS,74168.7437846484,2008-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,65839.7746518707,2008-01-01,m3
GASOLINA C (m3),RONDÔNIA,18366.433,2009-01-01,m3
GASOLINA C (m3),ACRE,5691.02779048632,2009-01-01,m3
GASOLINA C (m3),AMAZONAS,28728.170684501,2009-01-01,m3
GASOLINA C (m3),RORAIMA,5403.27418636962,2009-01-01,m3
GASOLINA C (m3),PARÁ,585376.660474558,2009-01-01,m3
